,,,,5/19/2017,5/18/2017,5/9/2017,5/10/2017,5/22/2017,5/12/2017,7/15/2017,5/16/2017,2017/06/19,2017/06/22,2017/06/12,2017/06/14,2017/06/16,2017/06/19,2017/06/14,2017/06/26,2017/07/14,2017/07/18,2017/07/06,2017/07/10 and 12,2017/07/13,2017/07/17,2017/07/07,2017/07/17,2017/08/06,2017/08/07,2017/08/01,2017/08/03,2017/08/04,2017/08/08,2017/08/02,2017/08/09,,,,,,,,
Family,Genus,Species,Code,MayDanmark,MayGamlaUppsala,MayGottsunda,MayHaga,MayHusby,MayJumkil,MayUltuna,MayVaksala,JuneDanmark,JuneGamlaUppsala,JuneGottsunda,JuneHaga,JuneHusby,JuneJumkil,JuneUltuna,JuneVaksala,JulyDanmark,JulyGamlaUppsala,JulyGottsunda,JulyHaga,JulyHusby,JulyJumkil,JulyUltuna,JulyVaksala,AugustDanmark,AugustGamlaUppsala,AugustGottsunda,AugustHaga,AugustHusby,AugustJumkil,AugustUltuna,AugustVaksala,Danmark,GamlaUppsala,Gottsunda,Haga,Husby,Jumkil,Ultuna,Vaksala
Adoxaceae,Viburnum,opulus L.,Vibuopul,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
Alismataceae,Alisma ,plantago-aquatica,Alisplan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alsinoideae,Cerastium,fontanum Baumg. ,Cerafont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
Amaryllidaceae,Allium,oleraceum,Allioler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Amaryllidaceae,Narcissus,asturiensis,Narcastu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Amaryllidaceae,Narcissus,pseudonarcissus,Narcpseu,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1
Amaryllidaceae,Narcissus,tazetta,Narctaze,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Apiaceae,Aegopodium,podagraria L.,Aegopoda,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1
Apiaceae,Angelica ,sylvestris L. ,Angesylv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Apiaceae,Anthriscus,sylvestris L.,Anthsylv,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Apiaceae,Carum,carvi L.,Carucarv,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
Apiaceae,Daucus ,carota sativus,Dauccaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
Apiaceae,Heracleum,sphondylium L.,Heraspho,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Apiaceae,Myrrhis,odorata,Myrrodor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Apiaceae,Pastinaca,sativa L.,Pastsati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1
Apiaceae,Peucedanum ,palustre,Peucpalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
