Herbatio,Micro-habitat,Genus,species,notes
GOTTSUNDENSIS,1 Rupes Lassbyenses,Bryum,bypnoides,
GOTTSUNDENSIS,1 Rupes Lassbyenses,Jungermannia,trichophylla,
GOTTSUNDENSIS,1 Rupes Lassbyenses,Lichen,centrifugus,
GOTTSUNDENSIS,1 Rupes Lassbyenses,Lichen,omphalodes,
GOTTSUNDENSIS,1 Rupes Lassbyenses,Lichen,pusbulatus,
GOTTSUNDENSIS,1 Rupes Lassbyenses,Liehen,rangiferinus,
GOTTSUNDENSIS,1 Rupes Lassbyenses,Lichen,islandicus,
GOTTSUNDENSIS,1 Rupes Lassbyenses,Lichen,saxatilis,
GOTTSUNDENSIS,1 Rupes Lassbyenses,Lichen,velleus,
GOTTSUNDENSIS,1 Rupes Lassbyenses,Lichen,deustus,
GOTTSUNDENSIS,1 Rupes Lassbyenses,Lichen,pascalis,
GOTTSUNDENSIS,2 Pascua Sylvatica,Trientalis,europaea,
GOTTSUNDENSIS,2 Pascua Sylvatica,Pyrola,rotundifolia,
GOTTSUNDENSIS,2 Pascua Sylvatica,Arbutus,Uva urfi,
GOTTSUNDENSIS,2 Pascua Sylvatica,Orchis,maculata,
GOTTSUNDENSIS,2 Pascua Sylvatica,Orchis,bifolia,
GOTTSUNDENSIS,2 Pascua Sylvatica,Salix,myrtilloides,
GOTTSUNDENSIS,2 Pascua Sylvatica,Empetrum,nigrum,
GOTTSUNDENSIS,2 Pascua Sylvatica,Lycopodium,Selago,
GOTTSUNDENSIS,2 Pascua Sylvatica,Lycopodium,clavatum,
GOTTSUNDENSIS,2 Pascua Sylvatica,Lycopodium,complanatum,
GOTTSUNDENSIS,2 Pascua Sylvatica,Equisetum,hyemale,
GOTTSUNDENSIS,3 Palus Norrbyensis,Pingvicula,vulgaris,
GOTTSUNDENSIS,3 Palus Norrbyensis,Eriophorum,polystachion,
GOTTSUNDENSIS,3 Palus Norrbyensis,Eriophorum,vaginatum,
GOTTSUNDENSIS,3 Palus Norrbyensis,Galium,palustre,
GOTTSUNDENSIS,3 Palus Norrbyensis,Drosera,rotundifolia,
GOTTSUNDENSIS,3 Palus Norrbyensis,Vaccinium,uliginosum,
GOTTSUNDENSIS,3 Palus Norrbyensis,Vaccinium,Myrtillus,
GOTTSUNDENSIS,3 Palus Norrbyensis,Vaccinium,Vitis idaea,
GOTTSUNDENSIS,3 Palus Norrbyensis,Vaccinium,Oxycoccos,
GOTTSUNDENSIS,3 Palus Norrbyensis,Andromeda,caerulea,
GOTTSUNDENSIS,3 Palus Norrbyensis,Ledum,palustre,
GOTTSUNDENSIS,3 Palus Norrbyensis,Rubus,Chamaemorus,
GOTTSUNDENSIS,3 Palus Norrbyensis,Ranunculus,Flamula,
GOTTSUNDENSIS,3 Palus Norrbyensis,Scutellaria,galericulata,
GOTTSUNDENSIS,3 Palus Norrbyensis,Salix,pentandra,
GOTTSUNDENSIS,3 Palus Norrbyensis,Betula,alba,
GOTTSUNDENSIS,3 Palus Norrbyensis,Betula,Alnus,
GOTTSUNDENSIS,3 Palus Norrbyensis,Sphagnum,palustre,
GOTTSUNDENSIS,4 Pratum Norrbyense,Phleum,pratense,
GOTTSUNDENSIS,4 Pratum Norrbyense,Aira,cespitosa,
GOTTSUNDENSIS,4 Pratum Norrbyense,Briza,media,
GOTTSUNDENSIS,4 Pratum Norrbyense,Poa,trivalis,
GOTTSUNDENSIS,4 Pratum Norrbyense,Poa,pratenfis,
GOTTSUNDENSIS,4 Pratum Norrbyense,Veronica,Chamaedrys,
GOTTSUNDENSIS,4 Pratum Norrbyense,Galium,verum,
GOTTSUNDENSIS,4 Pratum Norrbyense,Rumex,Acetosa,
GOTTSUNDENSIS,4 Pratum Norrbyense,Tormentilla,erecta,
GOTTSUNDENSIS,4 Pratum Norrbyense,Prunella,vulgaris,
GOTTSUNDENSIS,4 Pratum Norrbyense,Euphrasia,officinalis,
GOTTSUNDENSIS,4 Pratum Norrbyense,Rhinanthus,Crista galli,
GOTTSUNDENSIS,4 Pratum Norrbyense,Spiraea,Filipendula,
GOTTSUNDENSIS,4 Pratum Norrbyense,Lathyrus,pratensis,
GOTTSUNDENSIS,4 Pratum Norrbyense,Galium,Mollugo,
GOTTSUNDENSIS,4 Pratum Norrbyense,Plantago,major,
GOTTSUNDENSIS,4 Pratum Norrbyense,Plantago,media,
GOTTSUNDENSIS,4 Pratum Norrbyense,Alchemilla,vulgaris,
GOTTSUNDENSIS,4 Pratum Norrbyense,Campanula,rotundifolia,
GOTTSUNDENSIS,4 Pratum Norrbyense,Trifolium,repens,
GOTTSUNDENSIS,4 Pratum Norrbyense,Trifolium,pratense,
GOTTSUNDENSIS,4 Pratum Norrbyense,Leontodon,autumnale,
GOTTSUNDENSIS,4 Pratum Norrbyense,Centaurea,Jacea,
GOTTSUNDENSIS,4 Pratum Norrbyense,Chryfanthemum,Leucanthemum,
GOTTSUNDENSIS,5 Uliginosa Amni,Alopecurus,pratensis,
GOTTSUNDENSIS,5 Uliginosa Amni,Alopecurus,geniculatus,
GOTTSUNDENSIS,5 Uliginosa Amni,Menyanthes,trifoliata,
GOTTSUNDENSIS,5 Uliginosa Amni,Geum,rivale,
GOTTSUNDENSIS,5 Uliginosa Amni,Cardamine,pratensis,
GOTTSUNDENSIS,5 Uliginosa Amni,Ranunculus,acris,
GOTTSUNDENSIS,5 Uliginosa Amni,Thalictrum,flavum,
GOTTSUNDENSIS,5 Uliginosa Amni,Spiraea,Ulmaria,
GOTTSUNDENSIS,5 Uliginosa Amni,Calta,palustris,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Quercus,Robur,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Populus,tremula,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Cerefus,Padus,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Sorbus,Aucuparia,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Pyrus,Malus Sylvestris,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Rhamnus,catarthicus,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Rhamnus,Frangula,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Veronica,spicata,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Veronica,Serpyllifolia,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Poa,compressa,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Melica,mutans,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Myosotis,Scorpioides,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Pulmonaria,officinalis,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Convallaria,majalis,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Convallaria,Polygonatum,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Campanula,persicifolia,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Rumex,Acetosella,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Silene,Viscaria,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Saxifraga,granulata,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Potentilla,argentea,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Lonicera,Xylosteum,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Prunus,spinola,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Corylus,Avellana,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Ribes,alpinum,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Mespilus,Cotonaster,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Viburnum,Opulus,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Rosa,canina,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Rubus,saxatilis,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Anemone,nemorosa,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Anemone,Hepatica,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Draba,verna,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Draba,muralis,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Arabis,thaliana,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Turritis,glabra,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Turritis,hirsuta,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Fragaria,vesca,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Orobus,vernus,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Orobus,tuberosus,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Viola,canina-,
GOTTSUNDENSIS,6 Lucus Norrbyensis,Viola,hirta,
GOTTSUNDENSIS,7 Pratum Gottsundense,Aira,caerulea,
GOTTSUNDENSIS,7 Pratum Gottsundense,Agrimonia,Eupatoria,
GOTTSUNDENSIS,7 Pratum Gottsundense,Ajuga,pyramidalis,
GOTTSUNDENSIS,7 Pratum Gottsundense,Ranunculus,auricormus,
GOTTSUNDENSIS,7 Pratum Gottsundense,Hieracium,praemorsum,
GOTTSUNDENSIS,7 Pratum Gottsundense,Hypochaeris,maculata,
GOTTSUNDENSIS,7 Pratum Gottsundense,Viola,palustris,
GOTTSUNDENSIS,7 Pratum Gottsundense,Hypnum,dendroides,
GOTTSUNDENSIS,7 Pratum Gottsundense,Verbascum,nigrum,
GOTTSUNDENSIS,7 Pratum Gottsundense,Bistorta,vivipara,
GOTTSUNDENSIS,7 Pratum Gottsundense,Trifolium,agrarium,
GOTTSUNDENSIS,7 Pratum Gottsundense,Carex,cespitosa,
GOTTSUNDENSIS,7 Pratum Gottsundense,Carex,acuta,
GOTTSUNDENSIS,7 Pratum Gottsundense,Carex,vesicaria,
GOTTSUNDENSIS,7 Pratum Gottsundense,Mnium,hygrometricum,
GOTTSUNDENSIS,8 Bovilia Pastoris,Anthoxanthum,odorat,
GOTTSUNDENSIS,8 Bovilia Pastoris,Heracleum,Sphondylium,
GOTTSUNDENSIS,8 Bovilia Pastoris,Laserpitium,latifolium,
GOTTSUNDENSIS,8 Bovilia Pastoris,Geranium,pratense,
GOTTSUNDENSIS,8 Bovilia Pastoris,Geranium,sanguineum,
GOTTSUNDENSIS,8 Bovilia Pastoris,Fumaria,bulbosa,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Milium,effusum,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Asperula,odorata,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Campanula,latifolia,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Campanula,Trachelium,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Daphne,mezereum,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Paris,quadrifolia,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Actaea,spicata,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Ranuculus,Ficaria:,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Dentaria,bulbifera,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Cardamine,Impatiens,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Tilia,europaea,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Ulmus,campestris,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Crataegus,Oxyacantha,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Lathraea,Squamaria,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Clinopodium,vulgare,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Origanum,vulgare,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Glechoma,hederacea,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Stachys,sylvatica,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Vicia,sylvatica,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Viola,mirabilis,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Prenanthes,muralis,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Acrostichum,septentrionale,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Asplenium,trichomanes,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Polypodium,vulgare,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Polypodium,Phegopteris*,
GOTTSUNDENSIS,9 Praecipitia Gottsundensia,Salix,capraea,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Arundo,Epigejos,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Asclepias,Vincetoxicum,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Verbascum,Thapsus,
