Herbatio,Micro-habitat,Genus,species,notes
GOTTSUNDENSIS,10 Rupes Gottsundenses,Epilobium,montanum,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Epilobium,angustifolium,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Rubus,idaeus,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Thymus,Acinos,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Scrophularia,nodosa,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Orobus,niger,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Geranium,robertianum,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Hypericum,perforatum,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Marchantia,polymorpha,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Hieracium,murorum,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Gnaphalium,montanum,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Senecio,Jacobaea,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Polypodium,fragile,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Acrostichum,ilvense,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Polytricum,commune,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Hypnum,jericeum,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Bryum,cespiticium,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Bryum,striatum,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Mnium,pyriforme,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Jungermannia,resupinata,
GOTTSUNDENSIS,10 Rupes Gottsundenses,Elvela,Mitra,
GOTTSUNDENSIS,11 Praedium Wardsattra,Mentha,aquatica,
GOTTSUNDENSIS,11 Praedium Wardsattra,Hieracium,umbellatum,
GOTTSUNDENSIS,11 Praedium Wardsattra,Ophrys,Nidus,
GOTTSUNDENSIS,12 Silva Regia,Mnium,serpyllifolium,
GOTTSUNDENSIS,12 Silva Regia,Mnium,Jungermanniam,
GOTTSUNDENSIS,12 Silva Regia,Mnium,pellucidum,
GOTTSUNDENSIS,12 Silva Regia,Marchantiam,hemisphaericam,
GOTTSUNDENSIS,12 Silva Regia,Hypnum,complanatum,
ULTUNENSIS,1 Tegelhagen,Cynosurus,cristatus,
ULTUNENSIS,1 Tegelhagen,Cynosurus,caeruleus,
ULTUNENSIS,1 Tegelhagen,Primula,veris,
ULTUNENSIS,1 Tegelhagen,Chaerophyllum,temulum,
ULTUNENSIS,1 Tegelhagen,Allium,oleraceum,
ULTUNENSIS,1 Tegelhagen,Cerastium,viscosum,
ULTUNENSIS,1 Tegelhagen,Geum,urbanum,
ULTUNENSIS,1 Tegelhagen,Leontodon,taraxacum,
ULTUNENSIS,1 Tegelhagen,Tragopogon,pratense,
ULTUNENSIS,1 Tegelhagen,Arctium,Lappa,
ULTUNENSIS,2 Piscina,Rumex,aquaticus,
ULTUNENSIS,2 Piscina,Alisma,Plantago,
ULTUNENSIS,2 Piscina,Callitriche,palustris,
ULTUNENSIS,2 Piscina,Polygonum,amphibium,
ULTUNENSIS,2 Piscina,Zannichellia,palustris,
ULTUNENSIS,2 Piscina,Chara,vulqaris,
ULTUNENSIS,2 Piscina,Lemna,polyrrhiza,
ULTUNENSIS,2 Piscina,Ulva,intestinalis,
ULTUNENSIS,2 Piscina,Conserva,rivularis,
ULTUNENSIS,2 Piscina,Myriophyllum,verticillatum,
ULTUNENSIS,3 Lupuleta,Galium,Aparine,
ULTUNENSIS,3 Lupuleta,Cuscuta,europaea,
ULTUNENSIS,3 Lupuleta,Asperugo,procumbens,
ULTUNENSIS,3 Lupuleta,Ribes,Vua crispa,
ULTUNENSIS,3 Lupuleta,Ornithogalum,luteum,
ULTUNENSIS,3 Lupuleta,Ornithogalum,minimum,
ULTUNENSIS,3 Lupuleta,Alsine,media,
ULTUNENSIS,3 Lupuleta,Chelidonium,majus,
ULTUNENSIS,3 Lupuleta,Galeopfis,Ladanum,
ULTUNENSIS,3 Lupuleta,Galeopsis,Tetrahit,
ULTUNENSIS,3 Lupuleta,Lamium,album,
ULTUNENSIS,3 Lupuleta,Lapsana,communis,
ULTUNENSIS,3 Lupuleta,Atriplex,patula,
ULTUNENSIS,4 Campus Polonicus,Festua,ovina,
ULTUNENSIS,4 Campus Polonicus,Sagina,procumbens,
ULTUNENSIS,4 Campus Polonicus,Androsace,septentrionalis,
ULTUNENSIS,4 Campus Polonicus,Herniaria,glabra,
ULTUNENSIS,4 Campus Polonicus,Myosurus,minimus,
ULTUNENSIS,4 Campus Polonicus,Cerastium,pentandrum,
ULTUNENSIS,4 Campus Polonicus,Scleranthus,annuus,
ULTUNENSIS,4 Campus Polonicus,Arenaria,serpyllifolia,
ULTUNENSIS,4 Campus Polonicus,Arenaria,rubra,
ULTUNENSIS,4 Campus Polonicus,Gnaphalium,dioicum,
ULTUNENSIS,4 Campus Polonicus,Gnaphalium,uliginosum,
ULTUNENSIS,4 Campus Polonicus,Hieracium,Pilosella,
ULTUNENSIS,4 Campus Polonicus,Carlina,vulgaris,
ULTUNENSIS,4 Campus Polonicus,Osmunda,Lunaria,
ULTUNENSIS,4 Campus Polonicus,Lichen,tartareus,
ULTUNENSIS,4 Campus Polonicus,Lichen,Upsaliensis,
ULTUNENSIS,4 Campus Polonicus,Lichen,nivalis:,
ULTUNENSIS,4 Campus Polonicus,Peziza,lentifera,
ULTUNENSIS,4 Campus Polonicus,Potentilla,vernalis,
ULTUNENSIS,4 Campus Polonicus,Anemone,Pulsatilla,
ULTUNENSIS,4 Campus Polonicus,Artemisia,campestris,
ULTUNENSIS,4 Campus Polonicus,Bryum,apocarpum,
ULTUNENSIS,4 Campus Polonicus,Bryum,extinctorium,
ULTUNENSIS,4 Campus Polonicus,Lycoperdon,stellatum,
ULTUNENSIS,5 Silva Regia,Pinus,Abies,
ULTUNENSIS,5 Silva Regia,Pinus,sylvestris,
ULTUNENSIS,5 Silva Regia,Juniperus,communis,
ULTUNENSIS,5 Silva Regia,Berberis,vulgaris,
ULTUNENSIS,5 Silva Regia,Oxalis,Acetosella,
ULTUNENSIS,5 Silva Regia,Adoxa,Moscatellina,
ULTUNENSIS,5 Silva Regia,Juncus,pilosus,
ULTUNENSIS,5 Silva Regia,Pyrola,secunda,
ULTUNENSIS,5 Silva Regia,Pyrola,uniflora,
ULTUNENSIS,5 Silva Regia,Agrostis,arundinacea,
ULTUNENSIS,5 Silva Regia,Pteris,aquilina,
ULTUNENSIS,5 Silva Regia,Polypodium,Dryopteris,
ULTUNENSIS,5 Silva Regia,Lycopodium,annotinum,
ULTUNENSIS,5 Silva Regia,Bryum,heteromallum,
ULTUNENSIS,5 Silva Regia,Bryum,undulatum,
ULTUNENSIS,5 Silva Regia,Bryum,pomiforme,
ULTUNENSIS,5 Silva Regia,Bryum,truncatulum,
ULTUNENSIS,5 Silva Regia,Bryum,flexuosum,
ULTUNENSIS,5 Silva Regia,Bryum,scoparium,
ULTUNENSIS,5 Silva Regia,Hypnum,velutinum,
ULTUNENSIS,5 Silva Regia,Hypnum,cupressiforme,
ULTUNENSIS,5 Silva Regia,Hypnum,taxifolium,
ULTUNENSIS,5 Silva Regia,Hypnum,triquetrum,
ULTUNENSIS,5 Silva Regia,Hypnum,Bryoides,
ULTUNENSIS,5 Silva Regia,Hypnum,purum,
ULTUNENSIS,5 Silva Regia,Hypnum,Crista castrenfis,
ULTUNENSIS,5 Silva Regia,Hypnum,proliferum,
ULTUNENSIS,5 Silva Regia,Hypnum,parietinum,
ULTUNENSIS,5 Silva Regia,Hypnum,abietinum,
ULTUNENSIS,5 Silva Regia,Hypnum,curtipendulum,
ULTUNENSIS,5 Silva Regia,Lichen,caninus,
ULTUNENSIS,5 Silva Regia,Lichen,venosus,
ULTUNENSIS,5 Silva Regia,Lichen,hirtus,
ULTUNENSIS,5 Silva Regia,Lichen,juniperinus,
ULTUNENSIS,5 Silva Regia,Lichen,plicatus,
ULTUNENSIS,5 Silva Regia,Jungermannia,ciliaris,
ULTUNENSIS,6 Fons Sandwiksensis,Hippuris,vulgaris,
ULTUNENSIS,6 Fons Sandwiksensis,Veronica,Beccabunga,
ULTUNENSIS,6 Fons Sandwiksensis,Ranunculus,aquaticus,
ULTUNENSIS,6 Fons Sandwiksensis,Hypnum,aduncum,
ULTUNENSIS,6 Fons Sandwiksensis,TuffiIago,Farfara,
ULTUNENSIS,6 Fons Sandwiksensis,Mnium,fontanum,
ULTUNENSIS,6 Fons Sandwiksensis,Mnium,palustre,
ULTUNENSIS,7 Ultuna,Stratiotes,Aloides,
ULTUNENSIS,7 Ultuna,Hydrocharis,Morsus ranae,
ULTUNENSIS,8 Colles Ultunensis,,,
ULTUNENSIS,9 Liljeholmen,Asperula,tinctoria,
ULTUNENSIS,9 Liljeholmen,Hypericum,hirsutum,
ULTUNENSIS,9 Liljeholmen,Lobelia,Dortmanna,
ULTUNENSIS,9 Liljeholmen,Sisymbrium,aquaticum,
ULTUNENSIS,9 Liljeholmen,Phlalaris,arundinacea,
ULTUNENSIS,9 Liljeholmen,Statice,Armeria,
HAGENSIS,1Tecta Upsaliensia,Bromus,tectorum,
HAGENSIS,1Tecta Upsaliensia,Sedum,Telephium,
HAGENSIS,1Tecta Upsaliensia,Sedium,acre,
HAGENSIS,1Tecta Upsaliensia,Bryum,rurale,
HAGENSIS,1Tecta Upsaliensia,Sisymbrium,Sophia,
HAGENSIS,1Tecta Upsaliensia,Crepis,tectorum,
HAGENSIS,1Tecta Upsaliensia,Viola,bicolor,
HAGENSIS,2 Agri Upsalieness,Agrostis,Spica venti,
HAGENSIS,2 Agri Upsalieness,Bromus,secalinus,
HAGENSIS,2 Agri Upsalieness,Vicia,Cracca,
HAGENSIS,2 Agri Upsalieness,Triticum,repens,
HAGENSIS,2 Agri Upsalieness,Veronica,arvensis,
HAGENSIS,2 Agri Upsalieness,Veronica,agrestis,
HAGENSIS,2 Agri Upsalieness,Lycopsis,arvensis,
HAGENSIS,2 Agri Upsalieness,Lithospermum,arvense,
HAGENSIS,2 Agri Upsalieness,Spergula,arvensis,
HAGENSIS,2 Agri Upsalieness,Sinapis,arvensis,
HAGENSIS,2 Agri Upsalieness,Thlaspi,arvense,
HAGENSIS,2 Agri Upsalieness,Thlaspi,Bursa pastoris,
HAGENSIS,2 Agri Upsalieness,Erysimum,Cheiranthoides,
HAGENSIS,2 Agri Upsalieness,Myagrum,sativum,
HAGENSIS,2 Agri Upsalieness,Lamium,amplexicaule,
HAGENSIS,2 Agri Upsalieness,Chenopodium,album,
HAGENSIS,2 Agri Upsalieness,Conium,maculatum,
HAGENSIS,2 Agri Upsalieness,Convolvulus,Polygonum,
HAGENSIS,2 Agri Upsalieness,Convolvulus,arvensis,
HAGENSIS,2 Agri Upsalieness,Polygonum,Persicaria,
HAGENSIS,2 Agri Upsalieness,Polygonun,amphibium,
HAGENSIS,2 Agri Upsalieness,Agrostema,Githago,
HAGENSIS,2 Agri Upsalieness,Delphinium,Consolida,
HAGENSIS,2 Agri Upsalieness,Fumaria,officinalis,
HAGENSIS,2 Agri Upsalieness,Ervum,hirsutum,
HAGENSIS,2 Agri Upsalieness,Anthemis,arvensis,
HAGENSIS,2 Agri Upsalieness,Centaurea,Cyanus,
HAGENSIS,2 Agri Upsalieness,Sonchus,arvensis,
HAGENSIS,2 Agri Upsalieness,Serratula,arvensis,
HAGENSIS,2 Agri Upsalieness,Carduus,crispus,
HAGENSIS,2 Agri Upsalieness,Artemisia,vulgaris,
HAGENSIS,3 Versurae Agrorum,Bromus,arvensis,
HAGENSIS,3 Versurae Agrorum,Cynosurus,glomeratus,
HAGENSIS,3 Versurae Agrorum,Lolium,perenne,
HAGENSIS,3 Versurae Agrorum,Plantago,lanccolata,
HAGENSIS,3 Versurae Agrorum,Tordylium,Anthriscus,
HAGENSIS,3 Versurae Agrorum,Papaver,Rhoeas,
HAGENSIS,3 Versurae Agrorum,Potentilla,repens,
HAGENSIS,3 Versurae Agrorum,Thlaspi,campeftre,
HAGENSIS,3 Versurae Agrorum,Achillea,Millefolium,
HAGENSIS,3 Versurae Agrorum,Anchusa,officinalis,
HAGENSIS,4 Saltus Rickombergensis,Aira,flexuosa,
HAGENSIS,4 Saltus Rickombergensis,Nardus,stricta,
HAGENSIS,4 Saltus Rickombergensis,Erica,vulgaris,
HAGENSIS,4 Saltus Rickombergensis,Spergula,nodosa,
HAGENSIS,4 Saltus Rickombergensis,Lichen,subulatus,
HAGENSIS,4 Saltus Rickombergensis,Lichen,cornutus,
HAGENSIS,5 Prataflogstadensia & Hagensia,Scirpus,palustris,
HAGENSIS,5 Prataflogstadensia & Hagensia,Arundo,phragmites,
HAGENSIS,5 Prataflogstadensia & Hagensia,Getiana,amarella,
HAGENSIS,5 Prataflogstadensia & Hagensia,Lotus,corniculata,
HAGENSIS,6 Rivulus,Cardamine,amara,
HAGENSIS,6 Rivulus,Poramogeton,natans,
HAGENSIS,6 Rivulus,Frontinalis,antipyretica,
HAGENSIS,6 Rivulus,Tremella,verrucosa,
HAGENSIS,7 Haga,Crataeus,Aira,
HAGENSIS,7 Haga,Euphrasia,Odontites,
HAGENSIS,7 Haga,Saxifraga,tridactyloides,
HAGENSIS,7 Haga,Ophioglossum,vulgatum,
HAGENSIS,8 Tumulus Regis,,,
DANENSIS,1 Pratum Regium,Veronica,Anagallis,
DANENSIS,1 Pratum Regium,Valeriana,officinalis,
DANENSIS,1 Pratum Regium,Scirpus,cespitosus,
DANENSIS,1 Pratum Regium,Scirpus,acicularis,
DANENSIS,1 Pratum Regium,Agrostis,rubra,
DANENSIS,1 Pratum Regium,Agrostis,stolonifera,
DANENSIS,1 Pratum Regium,Poa,annua,
DANENSIS,1 Pratum Regium,Poa,angustifolia,
DANENSIS,1 Pratum Regium,Glaux,maritima,
DANENSIS,1 Pratum Regium,Festuca,rubra,
DANENSIS,1 Pratum Regium,Parnassia,palustris,
DANENSIS,1 Pratum Regium,Fritillaria,Meleagris,
DANENSIS,1 Pratum Regium,Primula,farinosa,
DANENSIS,1 Pratum Regium,Juncus,bulbosus,
DANENSIS,1 Pratum Regium,Juncus,bufonius,
DANENSIS,1 Pratum Regium,Rumex,acutus,
DANENSIS,1 Pratum Regium,Triglochin,palustre,
DANENSIS,1 Pratum Regium,Triglochin,maritimum,
DANENSIS,1 Pratum Regium,Stellaria,graminea,
DANENSIS,1 Pratum Regium,Lychnis,Flos cuculi,
DANENSIS,1 Pratum Regium,Erysimum,Barbaraea,
DANENSIS,1 Pratum Regium,Carex,capillaris,
DANENSIS,1 Pratum Regium,Equisetum,arvense,
DANENSIS,2 Ripae,Festuca,fluitans,
DANENSIS,2 Ripae,Iris,pseudAcorus,
DANENSIS,2 Ripae,Phellandrium,aquaticum,
DANENSIS,2 Ripae,Sium,latifolium,
DANENSIS,2 Ripae,Lysimachia,vulgaris,
DANENSIS,2 Ripae,Lythrum,Salicaria,
DANENSIS,2 Ripae,Equisetum,fluviatile,
DANENSIS,2 Ripae,Equisetum,palustre,
DANENSIS,3 Fluvius,Scirpus,lacustris,
DANENSIS,3 Fluvius,Potamogeton,perfoliatum,
DANENSIS,3 Fluvius,Potamogeton,pusillum,
