"","final_gen_sp","gen_sp_us","Herbatio_us","Presence_us","gen_sp_lin","Herbatio_lin","Micro.habitat","Presence_lin","Family.y","Flower_morphology","Flower_colour","annual_perennial","Nitrogen_use","compatibility","origin"
"1","Acer platanoides","Acer platanoides L.","Ultuna",1,NA,NA,NA,0,"Sapindaceae","O","yellow","p",7,NA,"native"
"2","Acer platanoides","Acer platanoides L.","Vaksala",0,NA,NA,NA,0,"Sapindaceae","O","yellow","p",7,NA,"native"
"3","Acer platanoides","Acer platanoides L.","Haga",1,NA,NA,NA,0,"Sapindaceae","O","yellow","p",7,NA,"native"
"4","Acer platanoides","Acer platanoides L.","Jumkil",0,NA,NA,NA,0,"Sapindaceae","O","yellow","p",7,NA,"native"
"5","Acer platanoides","Acer platanoides L.","Gottsunda",1,NA,NA,NA,0,"Sapindaceae","O","yellow","p",7,NA,"native"
"6","Acer platanoides","Acer platanoides L.","Danmark",1,NA,NA,NA,0,"Sapindaceae","O","yellow","p",7,NA,"native"
"7","Acer platanoides","Acer platanoides L.","GamlaUppsala",0,NA,NA,NA,0,"Sapindaceae","O","yellow","p",7,NA,"native"
"8","Acer platanoides","Acer platanoides L.","Husby",0,NA,NA,NA,0,"Sapindaceae","O","yellow","p",7,NA,"native"
"9","Achillea millefolium","Achillea millefolium L.","Ultuna",2,NA,NA,NA,0,"Asteraceae","O","white","p",4,NA,"not_in_fe"
"10","Achillea millefolium","Achillea millefolium L.","Husby",2,NA,NA,NA,0,"Asteraceae","O","white","p",4,NA,"not_in_fe"
"11","Achillea millefolium","Achillea millefolium L.","Haga",3,"Achillea Millefolium","Haga","3 Versurae Agrorum",1,"Asteraceae","O","white","p",4,NA,"not_in_fe"
"12","Achillea millefolium","Achillea millefolium L.","GamlaUppsala",3,NA,NA,NA,0,"Asteraceae","O","white","p",4,NA,"not_in_fe"
"13","Achillea millefolium","Achillea millefolium L.","Vaksala",3,NA,NA,NA,0,"Asteraceae","O","white","p",4,NA,"not_in_fe"
"14","Achillea millefolium","Achillea millefolium L.","Jumkil",1,NA,NA,NA,0,"Asteraceae","O","white","p",4,NA,"not_in_fe"
"15","Achillea millefolium","Achillea millefolium L.","Gottsunda",2,NA,NA,NA,0,"Asteraceae","O","white","p",4,NA,"not_in_fe"
"16","Achillea millefolium","Achillea millefolium L.","Danmark",3,NA,NA,NA,0,"Asteraceae","O","white","p",4,NA,"not_in_fe"
"17","Achillea ptarmica","Achillea ptarmica","Danmark",0,NA,NA,NA,0,"Asteraceae","O","white","p",3,NA,"not_in_fe"
"18","Achillea ptarmica","Achillea ptarmica","Jumkil",1,NA,NA,NA,0,"Asteraceae","O","white","p",3,NA,"not_in_fe"
"19","Achillea ptarmica","Achillea ptarmica","Haga",0,NA,NA,NA,0,"Asteraceae","O","white","p",3,NA,"not_in_fe"
"20","Achillea ptarmica","Achillea ptarmica","Vaksala",1,NA,NA,NA,0,"Asteraceae","O","white","p",3,NA,"not_in_fe"
"21","Achillea ptarmica","Achillea ptarmica","GamlaUppsala",0,NA,NA,NA,0,"Asteraceae","O","white","p",3,NA,"not_in_fe"
"22","Achillea ptarmica","Achillea ptarmica","Gottsunda",0,NA,NA,NA,0,"Asteraceae","O","white","p",3,NA,"not_in_fe"
"23","Achillea ptarmica","Achillea ptarmica","Ultuna",0,NA,NA,NA,0,"Asteraceae","O","white","p",3,NA,"not_in_fe"
"24","Achillea ptarmica","Achillea ptarmica","Husby",0,NA,NA,NA,0,"Asteraceae","O","white","p",3,NA,"not_in_fe"
"25","Acrostichum ilvense",NA,NA,0,"Acrostichum ilvense","Gottsunda","10 Rupes Gottsundenses",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"26","Acrostichum septentrionale",NA,NA,0,"Acrostichum septentrionale","Gottsunda","9 Praecipitia Gottsundensia",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"27","Actaea spicata",NA,NA,0,"Actaea spicata","Gottsunda","9 Praecipitia Gottsundensia",1,"Ranunculaceae","O","white","p",6,NA,"native"
"28","Adoxa moscatellina",NA,NA,0,"Adoxa Moscatellina","Ultuna","5 Silva Regia",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"29","Aegopodium podagraria","Aegopodium podagraria L.","Ultuna",2,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"30","Aegopodium podagraria","Aegopodium podagraria L.","Vaksala",2,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"31","Aegopodium podagraria","Aegopodium podagraria L.","Jumkil",2,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
