"","final_gen_sp","gen_sp_us","Herbatio_us","Presence_us","gen_sp_lin","Herbatio_lin","Micro.habitat","Presence_lin","Family.y","Flower_morphology","Flower_colour","annual_perennial","Nitrogen_use","compatibility","origin"
"32","Aegopodium podagraria","Aegopodium podagraria L.","Danmark",2,"Aegopodium Podagria","Danmark","4 Templo Danemarkensi",1,"Apiaceae","O","white","p",7,NA,"native"
"33","Aegopodium podagraria","Aegopodium podagraria L.","Husby",3,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"34","Aegopodium podagraria","Aegopodium podagraria L.","Haga",2,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"35","Aegopodium podagraria","Aegopodium podagraria L.","Gottsunda",3,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"36","Aegopodium podagraria","Aegopodium podagraria L.","GamlaUppsala",2,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"37","Agrimonia eupatoria","Agrimonia eupatoria L.","Jumkil",1,NA,NA,NA,0,"Rosaceae","O","yellow","p",4,NA,"native"
"38","Agrimonia eupatoria","Agrimonia eupatoria L.","Vaksala",2,NA,NA,NA,0,"Rosaceae","O","yellow","p",4,NA,"native"
"39","Agrimonia eupatoria","Agrimonia eupatoria L.","Husby",2,NA,NA,NA,0,"Rosaceae","O","yellow","p",4,NA,"native"
"40","Agrimonia eupatoria","Agrimonia eupatoria L.","Haga",1,NA,NA,NA,0,"Rosaceae","O","yellow","p",4,NA,"native"
"41","Agrimonia eupatoria","Agrimonia eupatoria L.","Ultuna",0,NA,NA,NA,0,"Rosaceae","O","yellow","p",4,NA,"native"
"42","Agrimonia eupatoria","Agrimonia eupatoria L.","Gottsunda",2,"Agrimonia Eupatoria","Gottsunda","7 Pratum Gottsundense",1,"Rosaceae","O","yellow","p",4,NA,"native"
"43","Agrimonia eupatoria","Agrimonia eupatoria L.","GamlaUppsala",1,NA,NA,NA,0,"Rosaceae","O","yellow","p",4,NA,"native"
"44","Agrimonia eupatoria","Agrimonia eupatoria L.","Danmark",2,NA,NA,NA,0,"Rosaceae","O","yellow","p",4,NA,"native"
"45","Agrostemma githago",NA,NA,0,"Agrostema Githago","Haga","2 Agri Upsalieness",1,"Carophyllaceae","O","pink","a",5,NA,"native"
"46","Agrostis arundinacea",NA,NA,0,"Agrostis arundinacea","Ultuna","5 Silva Regia",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"47","Agrostis rubra",NA,NA,0,"Scirpus acicularis","Danmark","1 Pratum Regium",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"48","Agrostis stolonifera",NA,NA,0,"Agrostis rubra","Danmark","1 Pratum Regium",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"49","Agrotis spina",NA,NA,0,"Agrostis Spica venti","Haga","2 Agri Upsalieness",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"50","Aira caerulea",NA,NA,0,"Aira caerulea","Gottsunda","7 Pratum Gottsundense",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"51","Aira cespitosa",NA,NA,0,"Aira cespitosa","Gottsunda","4 Pratum Norrbyense",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"52","Aira flexuosa",NA,NA,0,"Aira flexuosa","Haga","4 Saltus Rickombergensis",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"53","Ajuga pyramidalis",NA,NA,0,"Ajuga pyramidalis","Gottsunda","7 Pratum Gottsundense",1,"Laminaceae","O","purple","p",2,NA,"native"
"54","Ajuga reptans","Ajuga reptans","Husby",0,NA,NA,NA,0,"Laminaceae","O","purple","p",5,NA,"native"
"55","Ajuga reptans","Ajuga reptans","Danmark",0,NA,NA,NA,0,"Laminaceae","O","purple","p",5,NA,"native"
"56","Ajuga reptans","Ajuga reptans","Gottsunda",0,NA,NA,NA,0,"Laminaceae","O","purple","p",5,NA,"native"
"57","Ajuga reptans","Ajuga reptans","Jumkil",1,NA,NA,NA,0,"Laminaceae","O","purple","p",5,NA,"native"
"58","Ajuga reptans","Ajuga reptans","Haga",0,NA,NA,NA,0,"Laminaceae","O","purple","p",5,NA,"native"
"59","Ajuga reptans","Ajuga reptans","Ultuna",0,NA,NA,NA,0,"Laminaceae","O","purple","p",5,NA,"native"
"60","Ajuga reptans","Ajuga reptans","Vaksala",0,NA,NA,NA,0,"Laminaceae","O","purple","p",5,NA,"native"
"61","Ajuga reptans","Ajuga reptans","GamlaUppsala",0,NA,NA,NA,0,"Laminaceae","O","purple","p",5,NA,"native"
"62","Alchemilla vulgaris","Alchemilla vulgaris L.","Vaksala",4,NA,NA,NA,0,"Rosaceae","O","green-yellow","p",4,NA,"not_in_fe"
"63","Alchemilla vulgaris","Alchemilla vulgaris L.","Ultuna",3,NA,NA,NA,0,"Rosaceae","O","green-yellow","p",4,NA,"not_in_fe"
"64","Alchemilla vulgaris","Alchemilla vulgaris L.","Gottsunda",2,"Alchemilla vulgaris","Gottsunda","4 Pratum Norrbyense",1,"Rosaceae","O","green-yellow","p",4,NA,"not_in_fe"
"65","Alchemilla vulgaris","Alchemilla vulgaris L.","GamlaUppsala",2,NA,NA,NA,0,"Rosaceae","O","green-yellow","p",4,NA,"not_in_fe"
"66","Alchemilla vulgaris","Alchemilla vulgaris L.","Haga",2,NA,NA,NA,0,"Rosaceae","O","green-yellow","p",4,NA,"not_in_fe"
"67","Alchemilla vulgaris","Alchemilla vulgaris L.","Jumkil",2,NA,NA,NA,0,"Rosaceae","O","green-yellow","p",4,NA,"not_in_fe"
"68","Alchemilla vulgaris","Alchemilla vulgaris L.","Danmark",4,NA,NA,NA,0,"Rosaceae","O","green-yellow","p",4,NA,"not_in_fe"
"69","Alchemilla vulgaris","Alchemilla vulgaris L.","Husby",4,NA,NA,NA,0,"Rosaceae","O","green-yellow","p",4,NA,"not_in_fe"
"70","Alisma plantago",NA,NA,0,"Alisma Plantago","Ultuna","2 Piscina",1,NA,NA,NA,NA,NA,NA,"native"
"71","Alisma plantago-aquatica","Alisma  plantago-aquatica","Gottsunda",0,NA,NA,NA,0,"Alismataceae","O","white or pink","p",7,NA,"not_in_fe"
"72","Alisma plantago-aquatica","Alisma  plantago-aquatica","Husby",0,NA,NA,NA,0,"Alismataceae","O","white or pink","p",7,NA,"not_in_fe"
"73","Alisma plantago-aquatica","Alisma  plantago-aquatica","GamlaUppsala",0,NA,NA,NA,0,"Alismataceae","O","white or pink","p",7,NA,"not_in_fe"
"74","Alisma plantago-aquatica","Alisma  plantago-aquatica","Danmark",1,NA,NA,NA,0,"Alismataceae","O","white or pink","p",7,NA,"not_in_fe"
"75","Alisma plantago-aquatica","Alisma  plantago-aquatica","Jumkil",0,NA,NA,NA,0,"Alismataceae","O","white or pink","p",7,NA,"not_in_fe"
"76","Alisma plantago-aquatica","Alisma  plantago-aquatica","Haga",0,NA,NA,NA,0,"Alismataceae","O","white or pink","p",7,NA,"not_in_fe"
"77","Alisma plantago-aquatica","Alisma  plantago-aquatica","Vaksala",0,NA,NA,NA,0,"Alismataceae","O","white or pink","p",7,NA,"not_in_fe"
"78","Alisma plantago-aquatica","Alisma  plantago-aquatica","Ultuna",0,NA,NA,NA,0,"Alismataceae","O","white or pink","p",7,NA,"not_in_fe"
"79","Alliaria petiolata","Alliaria petiolata","Jumkil",0,NA,NA,NA,0,"Brassicaceae","O","white","b",8,NA,"native"
"80","Alliaria petiolata","Alliaria petiolata","Husby",3,NA,NA,NA,0,"Brassicaceae","O","white","b",8,NA,"native"
"81","Alliaria petiolata","Alliaria petiolata","Vaksala",2,NA,NA,NA,0,"Brassicaceae","O","white","b",8,NA,"native"
"82","Alliaria petiolata","Alliaria petiolata","Ultuna",3,NA,NA,NA,0,"Brassicaceae","O","white","b",8,NA,"native"
"83","Alliaria petiolata","Alliaria petiolata","GamlaUppsala",2,NA,NA,NA,0,"Brassicaceae","O","white","b",8,NA,"native"
"84","Alliaria petiolata","Alliaria petiolata","Danmark",3,NA,NA,NA,0,"Brassicaceae","O","white","b",8,NA,"native"
"85","Alliaria petiolata","Alliaria petiolata","Haga",2,NA,NA,NA,0,"Brassicaceae","O","white","b",8,NA,"native"
"86","Alliaria petiolata","Alliaria petiolata","Gottsunda",3,NA,NA,NA,0,"Brassicaceae","O","white","b",8,NA,"native"
"87","Allium oleraceum","Allium oleraceum","Danmark",0,NA,NA,NA,0,"Amaryllidaceae","O","pink","p",4,NA,"native"
"88","Allium oleraceum","Allium oleraceum","Ultuna",0,"Allium oleraceum","Ultuna","1 Tegelhagen",1,"Amaryllidaceae","O","pink","p",4,NA,"native"
"89","Allium oleraceum","Allium oleraceum","Haga",1,NA,NA,NA,0,"Amaryllidaceae","O","pink","p",4,NA,"native"
"90","Allium oleraceum","Allium oleraceum","Jumkil",0,NA,NA,NA,0,"Amaryllidaceae","O","pink","p",4,NA,"native"
"91","Allium oleraceum","Allium oleraceum","GamlaUppsala",0,NA,NA,NA,0,"Amaryllidaceae","O","pink","p",4,NA,"native"
"92","Allium oleraceum","Allium oleraceum","Husby",0,NA,NA,NA,0,"Amaryllidaceae","O","pink","p",4,NA,"native"
"93","Allium oleraceum","Allium oleraceum","Vaksala",0,NA,NA,NA,0,"Amaryllidaceae","O","pink","p",4,NA,"native"
"94","Allium oleraceum","Allium oleraceum","Gottsunda",0,NA,NA,NA,0,"Amaryllidaceae","O","pink","p",4,NA,"native"
"95","Alopecurus geniculatus",NA,NA,0,"Alopecurus geniculatus","Gottsunda","5 Uliginosa Amni",1,NA,NA,NA,NA,NA,NA,"native"
"96","Alopecurus pratensis",NA,NA,0,"Alopecurus pratensis","Gottsunda","5 Uliginosa Amni",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"97","Alsine media",NA,NA,0,"Alsine media","Ultuna","3 Lupuleta",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"98","Anchusa officinalis",NA,NA,0,"Anchusa officinalis","Haga","3 Versurae Agrorum",1,"Boraginaceae","O","purple","",NA,NA,"native"
"99","Andromeda caerulea",NA,NA,0,"Andromeda caerulea","Gottsunda","3 Palus Norrbyensis",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"100","Androsace septentrionalis",NA,NA,0,"Androsace septentrionalis","Ultuna","4 Campus Polonicus",1,"Primulaceae","O","white","",NA,NA,"native"
"101","Anemone hepatica",NA,NA,0,"Anemone Hepatica","Gottsunda","6 Lucus Norrbyensis",1,"Ranunculaceae","O","white-purple-pink","",NA,NA,"not_in_fe"
"102","Anemone nemorosa","Anemone nemorosa L.","Gottsunda",1,"Anemone nemorosa","Gottsunda","6 Lucus Norrbyensis",1,"Ranunculaceae","O","white-purple","p",4,NA,"native"
"103","Anemone nemorosa","Anemone nemorosa L.","GamlaUppsala",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple","p",4,NA,"native"
"104","Anemone nemorosa","Anemone nemorosa L.","Vaksala",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple","p",4,NA,"native"
"105","Anemone nemorosa","Anemone nemorosa L.","Danmark",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple","p",4,NA,"native"
"106","Anemone nemorosa","Anemone nemorosa L.","Ultuna",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple","p",4,NA,"native"
"107","Anemone nemorosa","Anemone nemorosa L.","Haga",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple","p",4,NA,"native"
"108","Anemone nemorosa","Anemone nemorosa L.","Husby",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple","p",4,NA,"native"
"109","Anemone nemorosa","Anemone nemorosa L.","Jumkil",2,NA,NA,NA,0,"Ranunculaceae","O","white-purple","p",4,NA,"native"
"110","Anemone pulsatilla",NA,NA,0,"Anemone Pulsatilla","Ultuna","4 Campus Polonicus",1,"Ranunculaceae","O","purple","",NA,NA,"not_in_fe"
"111","Anemone ranunculoides","Anemone ranunculiodes","Jumkil",0,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"112","Anemone ranunculoides","Anemone ranunculiodes","Vaksala",0,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"113","Anemone ranunculoides","Anemone ranunculiodes","Danmark",0,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"114","Anemone ranunculoides","Anemone ranunculiodes","Gottsunda",0,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"115","Anemone ranunculoides","Anemone ranunculiodes","Husby",0,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"116","Anemone ranunculoides","Anemone ranunculiodes","GamlaUppsala",0,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"117","Anemone ranunculoides","Anemone ranunculiodes","Haga",0,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"118","Anemone ranunculoides","Anemone ranunculiodes","Ultuna",1,NA,NA,NA,0,"Ranunculaceae","O","yellow","",NA,NA,"not_in_fe"
"119","Anemone vernalis",NA,NA,0,"Anemone vernalis","GamlaUppsala","4 Tumuli Upsaliensis",1,"Ranunculaceae","O","white","",NA,NA,"not_in_fe"
"120","Angelica sylvestris","Angelica  sylvestris L. ","Jumkil",0,NA,NA,NA,0,"Apiaceae","O","white or pink","p",5,NA,"native"
"121","Angelica sylvestris","Angelica  sylvestris L. ","Gottsunda",0,NA,NA,NA,0,"Apiaceae","O","white or pink","p",5,NA,"native"
"122","Angelica sylvestris","Angelica  sylvestris L. ","Vaksala",0,NA,NA,NA,0,"Apiaceae","O","white or pink","p",5,NA,"native"
"123","Angelica sylvestris","Angelica  sylvestris L. ","Husby",0,"Angelica sylvestris","Husby","10 Praedium Husby",1,"Apiaceae","O","white or pink","p",5,NA,"native"
"124","Angelica sylvestris","Angelica  sylvestris L. ","Ultuna",1,NA,NA,NA,0,"Apiaceae","O","white or pink","p",5,NA,"native"
"125","Angelica sylvestris","Angelica  sylvestris L. ","Danmark",0,NA,NA,NA,0,"Apiaceae","O","white or pink","p",5,NA,"native"
"126","Angelica sylvestris","Angelica  sylvestris L. ","GamlaUppsala",1,NA,NA,NA,0,"Apiaceae","O","white or pink","p",5,NA,"native"
"127","Angelica sylvestris","Angelica  sylvestris L. ","Haga",0,NA,NA,NA,0,"Apiaceae","O","white or pink","p",5,NA,"native"
"128","Antennaria dioica","Antennaria dioica ","Danmark",0,NA,NA,NA,0,"Asteraceae","O","white or pink","p",2,NA,"native"
"129","Antennaria dioica","Antennaria dioica ","Husby",0,NA,NA,NA,0,"Asteraceae","O","white or pink","p",2,NA,"native"
"130","Antennaria dioica","Antennaria dioica ","GamlaUppsala",1,NA,NA,NA,0,"Asteraceae","O","white or pink","p",2,NA,"native"
"131","Antennaria dioica","Antennaria dioica ","Vaksala",0,NA,NA,NA,0,"Asteraceae","O","white or pink","p",2,NA,"native"
"132","Antennaria dioica","Antennaria dioica ","Ultuna",0,NA,NA,NA,0,"Asteraceae","O","white or pink","p",2,NA,"native"
"133","Antennaria dioica","Antennaria dioica ","Haga",0,NA,NA,NA,0,"Asteraceae","O","white or pink","p",2,NA,"native"
"134","Antennaria dioica","Antennaria dioica ","Gottsunda",0,NA,NA,NA,0,"Asteraceae","O","white or pink","p",2,NA,"native"
"135","Antennaria dioica","Antennaria dioica ","Jumkil",0,NA,NA,NA,0,"Asteraceae","O","white or pink","p",2,NA,"native"
"136","Anthemis arvensis",NA,NA,0,"Anthemis arvensis","Haga","2 Agri Upsalieness",1,"Asteraceae","O","white","a",6,NA,"native"
"137","Anthemis cotula",NA,NA,0,"Anthemis Cotula","Jumkil","3 Plateae Urbis Upsaliensis",1,"Asteraceae","O","white","a",6,NA,"native"
"138","Anthemis tinctoria","Anthemis tinctoria L. ","Gottsunda",0,NA,NA,NA,0,"Asteraceae","O","yellow","",NA,NA,"native"
"139","Anthemis tinctoria","Anthemis tinctoria L. ","Danmark",2,NA,NA,NA,0,"Asteraceae","O","yellow","",NA,NA,"native"
"140","Anthemis tinctoria","Anthemis tinctoria L. ","GamlaUppsala",2,NA,NA,NA,0,"Asteraceae","O","yellow","",NA,NA,"native"
"141","Anthemis tinctoria","Anthemis tinctoria L. ","Husby",1,NA,NA,NA,0,"Asteraceae","O","yellow","",NA,NA,"native"
"142","Anthemis tinctoria","Anthemis tinctoria L. ","Jumkil",0,NA,NA,NA,0,"Asteraceae","O","yellow","",NA,NA,"native"
"143","Anthemis tinctoria","Anthemis tinctoria L. ","Vaksala",3,NA,NA,NA,0,"Asteraceae","O","yellow","",NA,NA,"native"
"144","Anthemis tinctoria","Anthemis tinctoria L. ","Ultuna",0,NA,NA,NA,0,"Asteraceae","O","yellow","",NA,NA,"native"
"145","Anthemis tinctoria","Anthemis tinctoria L. ","Haga",2,NA,NA,NA,0,"Asteraceae","O","yellow","",NA,NA,"native"
"146","Anthoxanthum odoratum",NA,NA,0,"Anthoxanthum odorat","Gottsunda","8 Bovilia Pastoris",1,NA,NA,NA,NA,NA,NA,"native"
"147","Anthriscus sylvestris","Anthriscus sylvestris L.","Ultuna",2,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"148","Anthriscus sylvestris","Anthriscus sylvestris L.","Vaksala",2,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"149","Anthriscus sylvestris","Anthriscus sylvestris L.","GamlaUppsala",2,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"150","Anthriscus sylvestris","Anthriscus sylvestris L.","Husby",2,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"151","Anthriscus sylvestris","Anthriscus sylvestris L.","Haga",3,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"152","Anthriscus sylvestris","Anthriscus sylvestris L.","Danmark",1,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"153","Anthriscus sylvestris","Anthriscus sylvestris L.","Jumkil",2,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"154","Anthriscus sylvestris","Anthriscus sylvestris L.","Gottsunda",2,NA,NA,NA,0,"Apiaceae","O","white","p",7,NA,"native"
"155","Anthyllis vulneraria","Anthyllis vulneraria L. ","Danmark",1,"Anthyllis Vulneraria","Danmark","5 Lucus Nantunensis",1,"Ericaceae","T","pink or yellow","p",2,NA,"native"
"156","Anthyllis vulneraria","Anthyllis vulneraria L. ","Ultuna",0,NA,NA,NA,0,"Ericaceae","T","pink or yellow","p",2,NA,"native"
"157","Anthyllis vulneraria","Anthyllis vulneraria L. ","Haga",1,NA,NA,NA,0,"Ericaceae","T","pink or yellow","p",2,NA,"native"
"158","Anthyllis vulneraria","Anthyllis vulneraria L. ","GamlaUppsala",2,NA,NA,NA,0,"Ericaceae","T","pink or yellow","p",2,NA,"native"
"159","Anthyllis vulneraria","Anthyllis vulneraria L. ","Vaksala",0,NA,NA,NA,0,"Ericaceae","T","pink or yellow","p",2,NA,"native"
"160","Anthyllis vulneraria","Anthyllis vulneraria L. ","Gottsunda",0,NA,NA,NA,0,"Ericaceae","T","pink or yellow","p",2,NA,"native"
"161","Anthyllis vulneraria","Anthyllis vulneraria L. ","Jumkil",0,NA,NA,NA,0,"Ericaceae","T","pink or yellow","p",2,NA,"native"
"162","Anthyllis vulneraria","Anthyllis vulneraria L. ","Husby",0,NA,NA,NA,0,"Ericaceae","T","pink or yellow","p",2,NA,"native"
"163","Antirrhinum linaria",NA,NA,0,"Antirrhinum Linaria","Vaksala","1 Via Upsaliensis",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"164","Antirrhinum minus",NA,NA,0,"Antirrhinum minus","Jumkil","3 Plateae Urbis Upsaliensis",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"165","Aquilegia vulgaris","Aquilegia vulgaris L.","GamlaUppsala",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple-pink-yellow","p",5,NA,"not_in_fe"
"166","Aquilegia vulgaris","Aquilegia vulgaris L.","Vaksala",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple-pink-yellow","p",5,NA,"not_in_fe"
"167","Aquilegia vulgaris","Aquilegia vulgaris L.","Danmark",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple-pink-yellow","p",5,NA,"not_in_fe"
"168","Aquilegia vulgaris","Aquilegia vulgaris L.","Gottsunda",0,NA,NA,NA,0,"Ranunculaceae","O","white-purple-pink-yellow","p",5,NA,"not_in_fe"
"169","Aquilegia vulgaris","Aquilegia vulgaris L.","Jumkil",0,NA,NA,NA,0,"Ranunculaceae","O","white-purple-pink-yellow","p",5,NA,"not_in_fe"
"170","Aquilegia vulgaris","Aquilegia vulgaris L.","Husby",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple-pink-yellow","p",5,NA,"not_in_fe"
"171","Aquilegia vulgaris","Aquilegia vulgaris L.","Ultuna",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple-pink-yellow","p",5,NA,"not_in_fe"
"172","Aquilegia vulgaris","Aquilegia vulgaris L.","Haga",1,NA,NA,NA,0,"Ranunculaceae","O","white-purple-pink-yellow","p",5,NA,"not_in_fe"
"173","Arabidopsis","Arabidopsis spp.","Danmark",1,NA,NA,NA,0,"Brassicaceae","","","",NA,NA,"not_in_fe"
"174","Arabidopsis","Arabidopsis spp.","Husby",0,NA,NA,NA,0,"Brassicaceae","","","",NA,NA,"not_in_fe"
"175","Arabidopsis","Arabidopsis spp.","Haga",0,NA,NA,NA,0,"Brassicaceae","","","",NA,NA,"not_in_fe"
"176","Arabidopsis","Arabidopsis spp.","Gottsunda",0,NA,NA,NA,0,"Brassicaceae","","","",NA,NA,"not_in_fe"
"177","Arabidopsis","Arabidopsis spp.","GamlaUppsala",0,NA,NA,NA,0,"Brassicaceae","","","",NA,NA,"not_in_fe"
"178","Arabidopsis","Arabidopsis spp.","Ultuna",0,NA,NA,NA,0,"Brassicaceae","","","",NA,NA,"not_in_fe"
"179","Arabidopsis","Arabidopsis spp.","Vaksala",0,NA,NA,NA,0,"Brassicaceae","","","",NA,NA,"not_in_fe"
"180","Arabidopsis","Arabidopsis spp.","Jumkil",0,NA,NA,NA,0,"Brassicaceae","","","",NA,NA,"not_in_fe"
"181","Arabis thaliana",NA,NA,0,"Arabis thaliana","Gottsunda","6 Lucus Norrbyensis",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"182","Arbutus",NA,NA,0,"Arbutus Uva urfi","Gottsunda","2 Pascua Sylvatica",1,NA,NA,NA,NA,NA,NA,"not_in_fe"
"183","Arctium lappa",NA,NA,0,"Arctium Lappa","Ultuna","1 Tegelhagen",1,"Asteraceae","T","strong purple","b",9,NA,"not_in_fe"
"184","Arctium tomentosum","Arctium tomentosum ","Husby",2,NA,NA,NA,0,"Asteraceae","T","purple","",NA,NA,"native"
"185","Arctium tomentosum","Arctium tomentosum ","Vaksala",2,NA,NA,NA,0,"Asteraceae","T","purple","",NA,NA,"native"
"186","Arctium tomentosum","Arctium tomentosum ","Jumkil",0,NA,NA,NA,0,"Asteraceae","T","purple","",NA,NA,"native"
